Time [s],Force sensor Rx,Stepper PUL
0.141452250,0,1
0.141460500,1,1
0.141469625,0,1
0.141486500,1,1
0.141512875,0,1
0.141521250,1,1
0.141547625,0,1
0.141555875,1,1
0.141573625,0,1
0.141581875,1,1
0.141599625,0,1
0.141616500,1,1
0.141651625,0,1
0.141677250,1,1
0.150276250,0,1
0.150284500,1,1
0.150362875,0,1
0.150371250,1,1
0.150380250,0,1
0.150397250,1,1
0.150406250,0,1
0.150414500,1,1
0.150449500,0,1
0.150483875,1,1
0.150492875,0,1
0.150509875,1,1
0.150536250,0,1
0.150561875,1,1
0.150622875,0,1
0.150631250,1,1
0.150640250,0,1
0.150648625,1,1
0.150657625,0,1
0.150683250,1,1
0.150709625,0,1
0.150717875,1,1
0.150744250,0,1
0.150761250,1,1
0.150770250,0,1
0.150787250,1,1
0.150796250,0,1
0.150804625,1,1
0.150813625,0,1
0.150821875,1,1
0.150831000,0,1
0.150856625,1,1
0.150883000,0,1
0.150891250,1,1
0.150969625,0,1
0.150978000,1,1
0.150987000,0,1
0.151004000,1,1
0.151013000,0,1
0.151030000,1,1
0.151056375,0,1
0.151064625,1,1
0.151073625,0,1
0.151082000,1,1
0.151091000,0,1
0.151134000,1,1
0.151143000,0,1
0.151151250,1,1
0.151169000,0,1
0.151177250,1,1
0.151186375,0,1
0.151203375,1,1
0.151229625,0,1
0.151272625,1,1
0.151299000,0,1
0.151307375,1,1
0.151316375,0,1
0.151350625,1,1
0.151359750,0,1
0.151376625,1,1
0.151403000,0,1
0.151411375,1,1
0.151420375,0,1
0.151437375,1,1
0.151446375,0,1
0.151454625,1,1
0.151489750,0,1
0.151515375,1,1
0.151533000,0,1
0.151550000,1,1
0.151576375,0,1
0.151584750,1,1
0.151593750,0,1
0.151610750,1,1
0.151637125,0,1
0.151645375,1,1
0.151663125,0,1
0.151671375,1,1
0.151689000,0,1
0.151697375,1,1
0.151706375,0,1
0.151723375,1,1
0.151749750,0,1
0.151766750,1,1
0.151784375,0,1
0.151792750,1,1
0.151810375,0,1
0.151818750,1,1
0.151836375,0,1
0.151862125,1,1
0.151888500,0,1
0.151914125,1,1
0.160045000,0,1
0.160053250,1,1
0.160131625,0,1
0.160140000,1,1
0.160149000,0,1
0.160166000,1,1
0.160175000,0,1
0.160183250,1,1
0.160218375,0,1
0.160252625,1,1
0.160261625,0,1
0.160278625,1,1
0.160305000,0,1
0.160330625,1,1
0.160391625,0,1
0.160400000,1,1
0.160409000,0,1
0.160417375,1,1
0.160426375,0,1
0.160452000,1,1
0.160478375,0,1
0.160486625,1,1
0.160513000,0,1
0.160530000,1,1
0.160539000,0,1
0.160556000,1,1
0.160565125,0,1
0.160573375,1,1
0.160582375,0,1
0.160590750,1,1
0.160599750,0,1
0.160625375,1,1
0.160651750,0,1
0.160660000,1,1
0.160738375,0,1
0.160746750,1,1
0.160755750,0,1
0.160772750,1,1
0.160781750,0,1
0.160798750,1,1
0.160825125,0,1
0.160833375,1,1
0.160842375,0,1
0.160850750,1,1
0.160859750,0,1
0.160902750,1,1
0.160911750,0,1
0.160920125,1,1
0.160937750,0,1
0.160946125,1,1
0.160955125,0,1
0.160972125,1,1
0.160998500,0,1
0.161041375,1,1
0.161067750,0,1
0.161076125,1,1
0.161085125,0,1
0.161119500,1,1
0.161128500,0,1
0.161145500,1,1
0.161171750,0,1
0.161180125,1,1
0.161189125,0,1
0.161206125,1,1
0.161215125,0,1
0.161223500,1,1
0.161258500,0,1
0.161284125,1,1
0.161301875,0,1
0.161318750,1,1
0.161345125,0,1
0.161353500,1,1
0.161362500,0,1
0.161379500,1,1
0.161405875,0,1
0.161414125,1,1
0.161431875,0,1
0.161440125,1,1
0.161457875,0,1
0.161466125,1,1
0.161475250,0,1
0.161492125,1,1
0.161518500,0,1
0.161535500,1,1
0.161553250,0,1
0.161561500,1,1
0.161579250,0,1
0.161587500,1,1
0.161605250,0,1
0.161630875,1,1
0.161657250,0,1
0.161682875,1,1
0.164444500,1,0
0.170047750,0,0
0.170056125,1,0
0.170134500,0,0
0.170142750,1,0
0.170151750,0,0
0.170168750,1,0
0.170177875,0,0
0.170186125,1,0
0.170221125,0,0
0.170255500,1,0
0.170264500,0,0
0.170281500,1,0
0.170307875,0,0
0.170316125,1,0
0.170333750,0,0
0.170342125,1,0
0.170394500,0,0
0.170402875,1,0
0.170411875,0,0
0.170420125,1,0
0.170429125,0,0
0.170454875,1,0
0.170481125,0,0
0.170489500,1,0
0.170515875,0,0
0.170532875,1,0
0.170541875,0,0
0.170558875,1,0
0.170567875,0,0
0.170576125,1,0
0.170585250,0,0
0.170593500,1,0
0.170602500,0,0
0.170628125,1,0
0.170654500,0,0
0.170662875,1,0
0.170741250,0,0
0.170749500,1,0
0.170758625,0,0
0.170775500,1,0
0.170784625,0,0
0.170801500,1,0
0.170827875,0,0
0.170836250,1,0
0.170845250,0,0
0.170853500,1,0
0.170862625,0,0
0.170905500,1,0
0.170914625,0,0
0.170922875,1,0
0.170940625,0,0
0.170948875,1,0
0.170957875,0,0
0.170974875,1,0
0.171001250,0,0
0.171044250,1,0
0.171070625,0,0
0.171078875,1,0
0.171088000,0,0
0.171122250,1,0
0.171131250,0,0
0.171148250,1,0
0.171174625,0,0
0.171182875,1,0
0.171192000,0,0
0.171208875,1,0
0.171218000,0,0
0.171226250,1,0
0.171261250,0,0
0.171287000,1,0
0.171304625,0,0
0.171321625,1,0
0.171348000,0,0
0.171356250,1,0
0.171365375,0,0
0.171382250,1,0
0.171408625,0,0
0.171417000,1,0
0.171434625,0,0
0.171443000,1,0
0.171460625,0,0
0.171469000,1,0
0.171478000,0,0
0.171495000,1,0
0.171521375,0,0
0.171538250,1,0
0.171556000,0,0
0.171564375,1,0
0.171582000,0,0
0.171590375,1,0
0.171608000,0,0
0.171616375,1,0
0.171634000,0,0
0.171642375,1,0
0.171660000,0,0
0.171685625,1,0
0.174445750,1,1
0.180059250,0,1
0.180067625,1,1
0.180146000,0,1
0.180154250,1,1
0.180163250,0,1
0.180180250,1,1
0.180189250,0,1
0.180197625,1,1
0.180232625,0,1
0.180267000,1,1
0.180276000,0,1
0.180293000,1,1
0.180319250,0,1
0.180327625,1,1
0.180345250,0,1
0.180353625,1,1
0.180406000,0,1
0.180414250,1,1
0.180423375,0,1
0.180431625,1,1
0.180440625,0,1
0.180466250,1,1
0.180492625,0,1
0.180501000,1,1
0.180527375,0,1
0.180544250,1,1
0.180553375,0,1
0.180570250,1,1
0.180579375,0,1
0.180587625,1,1
0.180596625,0,1
0.180605000,1,1
0.180614000,0,1
0.180639625,1,1
0.180666000,0,1
0.180674375,1,1
0.180752750,0,1
0.180761000,1,1
0.180770000,0,1
0.180787000,1,1
0.180796000,0,1
0.180813000,1,1
0.180839375,0,1
0.180847750,1,1
0.180856750,0,1
0.180865000,1,1
0.180874000,0,1
0.180917000,1,1
0.180926125,0,1
0.180934375,1,1
0.180952000,0,1
0.180960375,1,1
0.180969375,0,1
0.180986375,1,1
0.181012750,0,1
0.181055750,1,1
0.181082125,0,1
0.181090375,1,1
0.181099375,0,1
0.181133750,1,1
0.181142750,0,1
0.181159750,1,1
0.181186125,0,1
0.181194375,1,1
0.181203500,0,1
0.181220375,1,1
0.181229500,0,1
0.181237750,1,1
0.181272750,0,1
0.181298375,1,1
0.181316125,0,1
0.181333125,1,1
0.181359500,0,1
0.181367750,1,1
0.181376750,0,1
0.181393750,1,1
0.181420125,0,1
0.181428500,1,1
0.181446125,0,1
0.181454500,1,1
0.181472125,0,1
0.181480500,1,1
0.181489500,0,1
0.181506500,1,1
0.181532875,0,1
0.181549750,1,1
0.181567500,0,1
0.181575750,1,1
0.181593500,0,1
0.181601750,1,1
0.181619500,0,1
0.181627750,1,1
0.181645500,0,1
0.181653750,1,1
0.181671500,0,1
0.181697125,1,1
0.184447500,1,0
0.190062125,0,0
0.190070375,1,0
0.190148750,0,0
0.190157125,1,0
0.190166125,0,0
0.190183125,1,0
0.190192125,0,0
0.190200375,1,0
0.190235500,0,0
0.190269750,1,0
0.190278750,0,0
0.190295750,1,0
0.190322125,0,0
0.190330375,1,0
0.190348125,0,0
0.190356375,1,0
0.190408750,0,0
0.190417125,1,0
0.190426125,0,0
0.190434500,1,0
0.190443500,0,0
0.190469125,1,0
0.190495500,0,0
0.190503750,1,0
0.190530125,0,0
0.190547125,1,0
0.190556125,0,0
0.190573125,1,0
0.190582125,0,0
0.190590500,1,0
0.190599500,0,0
0.190607750,1,0
0.190616875,0,0
0.190642500,1,0
0.190668750,0,0
0.190677125,1,0
0.190755500,0,0
0.190763875,1,0
0.190772875,0,0
0.190789875,1,0
0.190798875,0,0
0.190815875,1,0
0.190842250,0,0
0.190867875,1,0
0.190876875,0,0
0.190919875,1,0
0.190928875,0,0
0.190937125,1,0
0.190954875,0,0
0.190963250,1,0
0.190972250,0,0
0.190989250,1,0
0.191015500,0,0
0.191058500,1,0
0.191084875,0,0
0.191093250,1,0
0.191102250,0,0
0.191136500,1,0
0.191145625,0,0
0.191162500,1,0
0.191188875,0,0
0.191197250,1,0
0.191206250,0,0
0.191223250,1,0
0.191232250,0,0
0.191240625,1,0
0.191275625,0,0
0.191301250,1,0
0.191318875,0,0
0.191335875,1,0
0.191362250,0,0
0.191370625,1,0
0.191379625,0,0
0.191396625,1,0
0.191423000,0,0
0.191431250,1,0
0.191435375,1,1
0.191449000,0,1
0.191457250,1,1
0.191475000,0,1
0.191483250,1,1
0.191492250,0,1
0.191509250,1,1
0.191535625,0,1
0.191544000,1,1
0.191553000,0,1
0.191561250,1,1
0.191570250,0,1
0.191578625,1,1
0.191596250,0,1
0.191604625,1,1
0.191622250,0,1
0.191630625,1,1
0.191639625,0,1
0.191656625,1,1
0.191674375,0,1
0.191700000,1,1
0.198436500,1,0
0.200281625,0,0
0.200289875,1,0
0.200368250,0,0
0.200376625,1,0
0.200385625,0,0
0.200402625,1,0
0.200411625,0,0
0.200419875,1,0
0.200455000,0,0
0.200489250,1,0
0.200498250,0,0
0.200515250,1,0
0.200541625,0,0
0.200549875,1,0
0.200567625,0,0
0.200576000,1,0
0.200628250,0,0
0.200636625,1,0
0.200645625,0,0
0.200654000,1,0
0.200663000,0,0
0.200688625,1,0
0.200715000,0,0
0.200723250,1,0
0.200749625,0,0
0.200766625,1,0
0.200775625,0,0
0.200792625,1,0
0.200801625,0,0
0.200810000,1,0
0.200819000,0,0
0.200827375,1,0
0.200836375,0,0
0.200862000,1,0
0.200888375,0,0
0.200896625,1,0
0.200975000,0,0
0.200983375,1,0
0.200992375,0,0
0.201009375,1,0
0.201018375,0,0
0.201035375,1,0
0.201061750,0,0
0.201087375,1,0
0.201096375,0,0
0.201139375,1,0
0.201148375,0,0
0.201156750,1,0
0.201174375,0,0
0.201182750,1,0
0.201191750,0,0
0.201208625,1,0
0.201235125,0,0
0.201243375,1,0
0.201278375,0,0
0.201286750,1,0
0.201304375,0,0
0.201312750,1,0
0.201321750,0,0
0.201356000,1,0
0.201365125,0,0
0.201382000,1,0
0.201408375,0,0
0.201416750,1,0
0.201425750,0,0
0.201442750,1,0
0.201451750,0,0
0.201460125,1,0
0.201495125,0,0
0.201520750,1,0
0.201538500,0,0
0.201555375,1,0
0.201581750,0,0
0.201590125,1,0
0.201599125,0,0
0.201616125,1,0
0.201642500,0,0
0.201650750,1,0
0.201668500,0,0
0.201676750,1,0
0.201694500,0,0
0.201702750,1,0
0.201711750,0,0
0.201728750,1,0
0.201755125,0,0
0.201763500,1,0
0.201772500,0,0
0.201780750,1,0
0.201789875,0,0
0.201798125,1,0
0.201815875,0,0
0.201824125,1,0
0.201841875,0,0
0.201876125,1,0
0.201893875,0,0
0.201919500,1,0
0.204450750,1,1
0.210059000,0,1
0.210067375,1,1
0.210145750,0,1
0.210154000,1,1
0.210163000,0,1
0.210180000,1,1
0.210189000,0,1
0.210197375,1,1
0.210232375,0,1
0.210266750,1,1
0.210275750,0,1
0.210292750,1,1
0.210319125,0,1
0.210327375,1,1
0.210345125,0,1
0.210353375,1,1
0.210405750,0,1
0.210414000,1,1
0.210423125,0,1
0.210431375,1,1
0.210438500,1,0
0.210440375,0,0
0.210466125,1,0
0.210492375,0,0
0.210500750,1,0
0.210527125,0,0
0.210544125,1,0
0.210553125,0,0
0.210570125,1,0
0.210579125,0,0
0.210587375,1,0
0.210596500,0,0
0.210604750,1,0
0.210613750,0,0
0.210639375,1,0
0.210665750,0,0
0.210674125,1,0
0.210752500,0,0
0.210760750,1,0
0.210769750,0,0
0.210786750,1,0
0.210795875,0,0
0.210812750,1,0
0.210839125,0,0
0.210864750,1,0
0.210873875,0,0
0.210916750,1,0
0.210925875,0,0
0.210934125,1,0
0.210951875,0,0
0.210960125,1,0
0.210969125,0,0
0.210986125,1,0
0.211012500,0,0
0.211020875,1,0
0.211055875,0,0
0.211064125,1,0
0.211081875,0,0
0.211090125,1,0
0.211099250,0,0
0.211133500,1,0
0.211142500,0,0
0.211159500,1,0
0.211185875,0,0
0.211194125,1,0
0.211203250,0,0
0.211220125,1,0
0.211229250,0,0
0.211237500,1,0
0.211272500,0,0
0.211298250,1,0
0.211315875,0,0
0.211332875,1,0
0.211359250,0,0
0.211393500,1,0
0.211419875,0,0
0.211428250,1,0
0.211445875,0,0
0.211454250,1,0
0.211471875,0,0
0.211480250,1,0
0.211489125,0,0
0.211506250,1,0
0.211532500,0,0
0.211549500,1,0
0.211567250,0,0
0.211575625,1,0
0.211593250,0,0
0.211601625,1,0
0.211619250,0,0
